CVEGEO,CVE_ENT,NOMGEO,CVE,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 5,SEMANA 6,SEMANA 7,SEMANA 8,SEMANA 9,SEMANA 10,SEMANA 11,SEMANA 12,SEMANA 13,SEMANA 14,SEMANA 15,SEMANA 16,SEMANA 17,SEMANA 18,SEMANA 19,SEMANA 20
05024,5,Parras,5024,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05025,5,Piedras Negras,5025,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4
05026,5,Progreso,5026,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05027,5,Ramos Arizpe,5027,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05028,5,Sabinas,5028,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4
05029,5,Sacramento,5029,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4
05030,5,Saltillo,5030,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4
05031,5,San Buenaventura,5031,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4
05032,5,San Juan de Sabinas,5032,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4
05033,5,San Pedro,5033,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4
05034,5,Sierra Mojada,5034,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05035,5,Torreón,5035,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05036,5,Viesca,5036,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
05037,5,Villa Unión,5037,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4
05038,5,Zaragoza,5038,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4
06001,6,Armería,6001,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4
